Player,Team,APG
Chris Paul,PHX,10.8
James Harden,PHI,10.3
Trae Young,ATL,9.7
Dejounte Murray,SAS,9.2
Luka Doncic,DAL,8.7
Darius Garland,CLE,8.6
Tyrese Haliburton,IND,8.2
Nikola Jokic,DEN,7.9
Kyle Lowry,MIA,7.5
LaMelo Ball,CHA,7.5
Damian Lillard,POR,7.3
D'Angelo Russell,MIN,7.1
Russell Westbrook,LAL,7.1
Draymond Green,GSW,7
Ja Morant,MEM,6.8
Jrue Holiday,MIL,6.8
Fred VanVleet,TOR,6.7
Bradley Beal,WAS,6.6
Ricky Rubio,IND,6.6
Josh Giddey,OKC,6.4
Kevin Durant,BKN,6.4
Stephen Curry,GSW,6.3
Kevin Porter Jr.,HOU,6.2
LeBron James,LAL,6.2
Malcolm Brogdon,IND,5.9
Marcus Smart,BOS,5.9
Shai Gilgeous-Alexander,OKC,5.9
Giannis Antetokounmpo,MIL,5.8
Kyrie Irving,BKN,5.8
Cole Anthony,ORL,5.7
