Player,Team,GP,W,L,MIN,"Passes
Made","Passes
Received",AST,"Secondary
AST","Potential
AST","AST PTS
Created","AST
Adj",TOUCHES,"Avg Sec Per
Touch","Avg Drib Per
Touch"
Bogdan Bogdanovic,ATL,63,33,30,29.3,27.4,30.4,3.1,0.4,5,7.5,3.7,43,2.85,1.99
Clint Capela,ATL,74,40,34,27.6,28.7,16.5,1.2,0.2,2.1,3.2,1.5,38.8,1.35,0.26
Danilo Gallinari,ATL,66,35,31,25.3,27.4,23.4,1.5,0.2,2.9,3.8,1.8,39.2,2.45,1.09
De'Andre Hunter,ATL,53,28,25,29.8,18.1,22.5,1.3,0.1,2.2,3.4,1.5,32.5,2.21,1.31
John Collins,ATL,54,26,28,30.8,37.9,27.7,1.8,0.1,2.6,4.4,2.1,53.6,1.58,0.46
Kevin Huerter,ATL,74,40,34,29.6,27.1,28.5,2.7,0.4,4.7,6.8,3.3,39.8,2.7,1.8
Onyeka Okongwu,ATL,48,26,22,20.7,19.1,13.5,1.1,0.1,2.1,2.8,1.3,25.8,1.38,0.44
Trae Young,ATL,76,40,36,34.9,51.5,72.2,9.7,1,17.2,24.1,11.6,82.9,6.3,5.79
Bruce Brown,BKN,72,37,35,24.6,27.9,21.9,2.1,0.3,3.5,5.2,2.4,37.3,2.42,1.63
Kessler Edwards,BKN,48,22,26,20.6,18.2,11.9,0.6,0.1,1.1,1.7,0.8,25,1.54,0.69
Kevin Durant,BKN,55,36,19,37.2,43.7,57.3,6.4,0.8,10.8,15.8,7.8,73.2,3.6,2.51
Kyrie Irving,BKN,29,14,15,37.6,52.8,63.2,5.8,1,11.2,14.8,7.5,81,4.3,3.63
LaMarcus Aldridge,BKN,47,26,21,22.3,22.9,21.9,0.9,0.2,2,2.4,1.1,34.9,1.7,0.57
Nic Claxton,BKN,47,24,23,20.7,19.1,13.6,0.9,0.1,1.7,2.4,1.1,26.9,1.6,0.45
Patty Mills,BKN,81,44,37,29,25.5,30.2,2.3,0.3,3.8,5.5,2.7,37.4,2.67,2.43
Seth Curry,BKN,64,38,26,33.3,39.2,44.1,3.6,0.7,6.4,9.5,4.8,54.2,3.28,2.51
Al Horford,BOS,68,46,22,29,39.2,31,3.4,0.4,5.6,8.6,4.1,49.4,1.73,0.64
Daniel Theis,BOS,47,20,27,20.8,20.7,17.5,0.9,0.1,2.1,2.4,1.1,29,1.44,0.32
Derrick White,BOS,75,40,35,29.3,36.4,42,4.9,0.5,8.7,12.3,5.9,51.8,3.9,3.34
Grant Williams,BOS,76,49,27,24.5,20.1,16.3,1,0.2,2,2.6,1.2,27.5,1.59,0.56
